origin_id,country
"313","阿尔巴尼亚"
"201","阿尔及利亚"
"101","阿富汗"
"402","阿根廷"
"138","阿拉伯联合酋长国"
"403","阿鲁巴岛"
"126","阿曼"
"339","阿塞拜疆"
"215","埃及"
"217","埃塞俄比亚"
"306","爱尔兰"
"334","爱沙尼亚"
"314","安道尔"
"202","安哥拉"
"401","安提瓜和巴布达"
"315","奥地利"
"601","澳大利亚"
"121","澳门"
"405","巴巴多斯"
"611","巴布亚新几内亚"
"404","巴哈马"
"127","巴基斯坦"
"433","巴拉圭"
"128","巴勒斯坦"
"102","巴林"
"432","巴拿马"
"410","巴西"
"340","白俄罗斯"
"504","百慕大群岛"
"316","保加利亚"
"599","北美洲其他国家（地区）"
"622","贝劳共和国"
"203","贝宁"
"301","比利时"
"322","冰岛"
"408","玻利维亚"
"435","波多黎各"
"327","波兰"
"355","波斯尼亚　黑塞哥维那共和国"
"204","博茨瓦那"
"406","伯利兹"
"104","不丹"
"251","布基纳法索"
"205","布隆迪"
"109","朝鲜"
"216","赤道几内亚"
"699","大洋洲其他国家（地区）"
"302","丹麦"
"304","德国"
"248","多哥"
"414","多米尼加"
"418","多米尼加共和国"
"344","俄罗斯联邦"
"419","厄瓜多尔"
"258","厄立特里亚"
"305","法国"
"420","法属圭亚那"
"129","菲律宾"
"299","非洲其他国家（地区）"
"318","芬兰"
"208","佛得角"
"604","盖比群岛"
"219","冈比亚"
"213","刚果"
"413","哥伦比亚"
"415","哥斯达黎加"
"421","格林纳达"
"503","格陵兰"
"337","格鲁吉亚"
"416","古巴"
"422","瓜德罗普岛"
"424","圭亚那"
"701","国别（地区）不详"
"341","哈萨克斯坦"
"425","海地"
"133","韩国"
"309","荷兰"
"426","洪都拉斯"
"618","基里巴斯"
"214","吉布提"
"342","吉尔吉斯"
"221","几内亚"
"222","几内亚(比绍)"
"501","加拿大"
"207","加那利群岛"
"220","加纳"
"218","加蓬"
"107","柬埔寨"
"352","捷克共和国"
"254","津巴布韦"
"206","喀麦隆"
"130","卡塔尔"
"411","开曼群岛"
"212","科摩罗"
"223","科特迪瓦共和国"
"118","科威特"
"351","克罗地亚共和国"
"224","肯尼亚"
"602","库克群岛"
"417","库腊索岛"
"499","拉丁美洲其他国家（地区）"
"335","拉脱维亚"
"255","莱索托"
"119","老挝"
"120","黎巴嫩"
"225","利比里亚"
"226","利比亚"
"336","立陶宛"
"323","列支敦士登"
"237","留尼汪"
"308","卢森堡"
"238","卢旺达"
"328","罗马尼亚"
"227","马达加斯加"
"324","马耳他"
"123","马尔代夫"
"605","马克萨斯群岛"
"228","马拉维"
"122","马来西亚"
"229","马里"
"621","马绍尔群岛共和国"
"428","马提尼克岛"
"231","毛里求斯"
"230","毛里塔尼亚"
"256","梅利利亚"
"502","美国"
"124","蒙古"
"430","蒙特塞拉特"
"103","孟加拉国"
"434","秘鲁"
"620","密克罗尼西亚联邦"
"106","缅甸"
"343","摩尔多瓦"
"232","摩洛哥"
"325","摩纳哥"
"233","莫桑比克"
"429","墨西哥"
"234","纳米比亚"
"244","南非"
"349","南斯拉夫联盟共和国"
"125","尼泊尔"
"431","尼加拉瓜"
"235","尼日尔"
"236","尼日利亚"
"326","挪威"
"610","诺福克岛"
"311","葡萄牙"
"354","前南斯拉夫马其顿共和国"
"116","日本"
"330","瑞典"
"331","瑞士"
"436","萨巴"
"440","萨尔瓦多"
"617","萨摩亚"
"210","塞卜泰(休达)"
"242","塞拉利昂"
"240","塞内加尔"
"108","塞浦路斯"
"241","塞舌尔"
"131","沙特阿拉伯"
"612","社会群岛"
"239","圣多美和普林西比"
"437","圣卢西亚"
"438","圣马丁岛"
"329","圣马力诺"
"447","圣其茨--尼维斯"
"439","圣文森特和格林纳丁斯"
"134","斯里兰卡"
"353","斯洛伐克共和国"
"350","斯洛文尼亚共和国"
"257","斯威士兰"
"246","苏丹"
"441","苏里南"
"243","索马里"
"613","所罗门群岛"
"345","塔吉克斯坦"
"143","台湾省"
"136","泰国"
"247","坦桑尼亚"
"614","汤加"
"443","特克斯和凯科斯群岛"
"442","特立尼达和多巴哥"
"249","突尼斯"
"615","土阿莫土群岛"
"616","土布艾群岛"
"137","土耳其"
"346","土库曼斯坦"
"608","瓦努阿图"
"423","危地马拉"
"445","委内瑞拉"
"105","文莱"
"250","乌干达"
"347","乌克兰"
"444","乌拉圭"
"348","乌兹别克斯坦"
"312","西班牙"
"245","西撒哈拉"
"310","希腊"
"110","香港"
"132","新加坡"
"607","新喀里多尼亚"
"609","新西兰"
"321","匈牙利"
"135","叙利亚"
"427","牙买加"
"338","亚美尼亚"
"199","亚洲其他国家（地区）"
"139","也门共和国"
"114","伊拉克"
"113","伊朗"
"115","以色列"
"307","意大利"
"111","印度"
"112","印度尼西亚"
"303","英国"
"446","英属维尔京群岛"
"117","约旦"
"141","越南"
"253","赞比亚"
"252","扎伊尔"
"211","乍得"
"320","直布罗陀"
"412","智利"
"209","中非"
"142","中华人民共和国"
"606","瑙鲁"
"603","斐济"
